"date_key","date","day","month","year","weekday"
20241007,"2024-10-07",7,10,2024,"Monday"
20241008,"2024-10-08",8,10,2024,"Tuesday"
20241009,"2024-10-09",9,10,2024,"Wednesday"
20241010,"2024-10-10",10,10,2024,"Thursday"
20241011,"2024-10-11",11,10,2024,"Friday"
20241012,"2024-10-12",12,10,2024,"Saturday"
20241013,"2024-10-13",13,10,2024,"Sunday"
20241014,"2024-10-14",14,10,2024,"Monday"
20241015,"2024-10-15",15,10,2024,"Tuesday"
20241016,"2024-10-16",16,10,2024,"Wednesday"
20241017,"2024-10-17",17,10,2024,"Thursday"
20241018,"2024-10-18",18,10,2024,"Friday"
20241019,"2024-10-19",19,10,2024,"Saturday"
20241020,"2024-10-20",20,10,2024,"Sunday"
20241021,"2024-10-21",21,10,2024,"Monday"
20241022,"2024-10-22",22,10,2024,"Tuesday"
20241023,"2024-10-23",23,10,2024,"Wednesday"
20241024,"2024-10-24",24,10,2024,"Thursday"
20241025,"2024-10-25",25,10,2024,"Friday"
20241026,"2024-10-26",26,10,2024,"Saturday"
20241027,"2024-10-27",27,10,2024,"Sunday"
20241028,"2024-10-28",28,10,2024,"Monday"
20241029,"2024-10-29",29,10,2024,"Tuesday"
20241030,"2024-10-30",30,10,2024,"Wednesday"
20241031,"2024-10-31",31,10,2024,"Thursday"
20241101,"2024-11-01",1,11,2024,"Friday"
20241102,"2024-11-02",2,11,2024,"Saturday"
20241103,"2024-11-03",3,11,2024,"Sunday"
20241104,"2024-11-04",4,11,2024,"Monday"
20241105,"2024-11-05",5,11,2024,"Tuesday"
20241106,"2024-11-06",6,11,2024,"Wednesday"
20241107,"2024-11-07",7,11,2024,"Thursday"
20241108,"2024-11-08",8,11,2024,"Friday"
20241109,"2024-11-09",9,11,2024,"Saturday"
20241110,"2024-11-10",10,11,2024,"Sunday"
20241111,"2024-11-11",11,11,2024,"Monday"
20241112,"2024-11-12",12,11,2024,"Tuesday"
20241113,"2024-11-13",13,11,2024,"Wednesday"
20241114,"2024-11-14",14,11,2024,"Thursday"
20241115,"2024-11-15",15,11,2024,"Friday"
20241116,"2024-11-16",16,11,2024,"Saturday"
20241117,"2024-11-17",17,11,2024,"Sunday"
20241118,"2024-11-18",18,11,2024,"Monday"
20241119,"2024-11-19",19,11,2024,"Tuesday"
20241120,"2024-11-20",20,11,2024,"Wednesday"
20241121,"2024-11-21",21,11,2024,"Thursday"
20241122,"2024-11-22",22,11,2024,"Friday"
20241123,"2024-11-23",23,11,2024,"Saturday"
20241124,"2024-11-24",24,11,2024,"Sunday"
20241125,"2024-11-25",25,11,2024,"Monday"
20241126,"2024-11-26",26,11,2024,"Tuesday"
20241127,"2024-11-27",27,11,2024,"Wednesday"
20241128,"2024-11-28",28,11,2024,"Thursday"
20241129,"2024-11-29",29,11,2024,"Friday"
20241130,"2024-11-30",30,11,2024,"Saturday"
20241201,"2024-12-01",1,12,2024,"Sunday"
20241202,"2024-12-02",2,12,2024,"Monday"
20241203,"2024-12-03",3,12,2024,"Tuesday"
20241204,"2024-12-04",4,12,2024,"Wednesday"
20241205,"2024-12-05",5,12,2024,"Thursday"
20241206,"2024-12-06",6,12,2024,"Friday"
20241207,"2024-12-07",7,12,2024,"Saturday"
20241208,"2024-12-08",8,12,2024,"Sunday"
20241209,"2024-12-09",9,12,2024,"Monday"
20241210,"2024-12-10",10,12,2024,"Tuesday"
20241211,"2024-12-11",11,12,2024,"Wednesday"
20241212,"2024-12-12",12,12,2024,"Thursday"
20241213,"2024-12-13",13,12,2024,"Friday"
20241214,"2024-12-14",14,12,2024,"Saturday"
20241215,"2024-12-15",15,12,2024,"Sunday"
20241216,"2024-12-16",16,12,2024,"Monday"
20241217,"2024-12-17",17,12,2024,"Tuesday"
20241218,"2024-12-18",18,12,2024,"Wednesday"
20241219,"2024-12-19",19,12,2024,"Thursday"
20241220,"2024-12-20",20,12,2024,"Friday"
20241221,"2024-12-21",21,12,2024,"Saturday"
20241222,"2024-12-22",22,12,2024,"Sunday"
20241223,"2024-12-23",23,12,2024,"Monday"
20241224,"2024-12-24",24,12,2024,"Tuesday"
20241225,"2024-12-25",25,12,2024,"Wednesday"
20241226,"2024-12-26",26,12,2024,"Thursday"
20241227,"2024-12-27",27,12,2024,"Friday"
20241228,"2024-12-28",28,12,2024,"Saturday"
20241229,"2024-12-29",29,12,2024,"Sunday"
20241230,"2024-12-30",30,12,2024,"Monday"
20241231,"2024-12-31",31,12,2024,"Tuesday"
20250101,"2025-01-01",1,1,2025,"Wednesday"
20250102,"2025-01-02",2,1,2025,"Thursday"
20250103,"2025-01-03",3,1,2025,"Friday"
20250104,"2025-01-04",4,1,2025,"Saturday"
20250105,"2025-01-05",5,1,2025,"Sunday"
20250106,"2025-01-06",6,1,2025,"Monday"
20250107,"2025-01-07",7,1,2025,"Tuesday"
20250108,"2025-01-08",8,1,2025,"Wednesday"
20250109,"2025-01-09",9,1,2025,"Thursday"
20250110,"2025-01-10",10,1,2025,"Friday"
20250111,"2025-01-11",11,1,2025,"Saturday"
20250112,"2025-01-12",12,1,2025,"Sunday"
20250113,"2025-01-13",13,1,2025,"Monday"
20250114,"2025-01-14",14,1,2025,"Tuesday"
20250115,"2025-01-15",15,1,2025,"Wednesday"
20250116,"2025-01-16",16,1,2025,"Thursday"
20250117,"2025-01-17",17,1,2025,"Friday"
20250118,"2025-01-18",18,1,2025,"Saturday"
20250119,"2025-01-19",19,1,2025,"Sunday"
20250120,"2025-01-20",20,1,2025,"Monday"
20250121,"2025-01-21",21,1,2025,"Tuesday"
20250122,"2025-01-22",22,1,2025,"Wednesday"
20250123,"2025-01-23",23,1,2025,"Thursday"
20250124,"2025-01-24",24,1,2025,"Friday"
20250125,"2025-01-25",25,1,2025,"Saturday"
20250126,"2025-01-26",26,1,2025,"Sunday"
20250127,"2025-01-27",27,1,2025,"Monday"
20250128,"2025-01-28",28,1,2025,"Tuesday"
20250129,"2025-01-29",29,1,2025,"Wednesday"
20250130,"2025-01-30",30,1,2025,"Thursday"
20250131,"2025-01-31",31,1,2025,"Friday"
20250201,"2025-02-01",1,2,2025,"Saturday"
20250202,"2025-02-02",2,2,2025,"Sunday"
20250203,"2025-02-03",3,2,2025,"Monday"
20250204,"2025-02-04",4,2,2025,"Tuesday"
20250205,"2025-02-05",5,2,2025,"Wednesday"
20250206,"2025-02-06",6,2,2025,"Thursday"
20250207,"2025-02-07",7,2,2025,"Friday"
20250208,"2025-02-08",8,2,2025,"Saturday"
20250209,"2025-02-09",9,2,2025,"Sunday"
20250210,"2025-02-10",10,2,2025,"Monday"
20250211,"2025-02-11",11,2,2025,"Tuesday"
20250212,"2025-02-12",12,2,2025,"Wednesday"
